Ref_Date,GEO,EST,Vector,Coordinate,Value
1924,Canada,Beekeepers,v47849,1.1,22205
1925,Canada,Beekeepers,v47849,1.1,22295
1926,Canada,Beekeepers,v47849,1.1,22325
1927,Canada,Beekeepers,v47849,1.1,22810
1928,Canada,Beekeepers,v47849,1.1,22672
1929,Canada,Beekeepers,v47849,1.1,22304
1930,Canada,Beekeepers,v47849,1.1,24185
1931,Canada,Beekeepers,v47849,1.1,23985
1932,Canada,Beekeepers,v47849,1.1,24645
1933,Canada,Beekeepers,v47849,1.1,23085
1934,Canada,Beekeepers,v47849,1.1,24254
1935,Canada,Beekeepers,v47849,1.1,24843
1936,Canada,Beekeepers,v47849,1.1,26312
1937,Canada,Beekeepers,v47849,1.1,27911
1938,Canada,Beekeepers,v47849,1.1,27300
1939,Canada,Beekeepers,v47849,1.1,28010
1940,Canada,Beekeepers,v47849,1.1,27150
1941,Canada,Beekeepers,v47849,1.1,27360
1942,Canada,Beekeepers,v47849,1.1,28430
1943,Canada,Beekeepers,v47849,1.1,34250
1944,Canada,Beekeepers,v47849,1.1,40680
1945,Canada,Beekeepers,v47849,1.1,43340
1946,Canada,Beekeepers,v47849,1.1,43190
1947,Canada,Beekeepers,v47849,1.1,39210
1948,Canada,Beekeepers,v47849,1.1,32100
1949,Canada,Beekeepers,v47849,1.1,25870
1950,Canada,Beekeepers,v47849,1.1,22180
1951,Canada,Beekeepers,v47849,1.1,18900
1952,Canada,Beekeepers,v47849,1.1,15950
1953,Canada,Beekeepers,v47849,1.1,13950
1954,Canada,Beekeepers,v47849,1.1,14890
1955,Canada,Beekeepers,v47849,1.1,14150
1956,Canada,Beekeepers,v47849,1.1,14410
1957,Canada,Beekeepers,v47849,1.1,15040
1958,Canada,Beekeepers,v47849,1.1,13150
1959,Canada,Beekeepers,v47849,1.1,14180
1960,Canada,Beekeepers,v47849,1.1,12570
1961,Canada,Beekeepers,v47849,1.1,11660
1962,Canada,Beekeepers,v47849,1.1,10370
1963,Canada,Beekeepers,v47849,1.1,10660
1964,Canada,Beekeepers,v47849,1.1,10760
1965,Canada,Beekeepers,v47849,1.1,10350
1966,Canada,Beekeepers,v47849,1.1,10000
1967,Canada,Beekeepers,v47849,1.1,9660
1968,Canada,Beekeepers,v47849,1.1,9600
1969,Canada,Beekeepers,v47849,1.1,9310
1970,Canada,Beekeepers,v47849,1.1,8590
1971,Canada,Beekeepers,v47849,1.1,8630
1972,Canada,Beekeepers,v47849,1.1,8340
1973,Canada,Beekeepers,v47849,1.1,8880
1974,Canada,Beekeepers,v47849,1.1,11350
1975,Canada,Beekeepers,v47849,1.1,13310
1976,Canada,Beekeepers,v47849,1.1,15300
1977,Canada,Beekeepers,v47849,1.1,16010
1978,Canada,Beekeepers,v47849,1.1,17470
1979,Canada,Beekeepers,v47849,1.1,18550
1980,Canada,Beekeepers,v47849,1.1,19500
1981,Canada,Beekeepers,v47849,1.1,19980
1982,Canada,Beekeepers,v47849,1.1,20650
1983,Canada,Beekeepers,v47849,1.1,21110
1984,Canada,Beekeepers,v47849,1.1,20810
1985,Canada,Beekeepers,v47849,1.1,19635
1986,Canada,Beekeepers,v47849,1.1,19400
1987,Canada,Beekeepers,v47849,1.1,18630
1988,Canada,Beekeepers,v47849,1.1,17620
1989,Canada,Beekeepers,v47849,1.1,15145
1990,Canada,Beekeepers,v47849,1.1,14276
1991,Canada,Beekeepers,v47849,1.1,13096
1992,Canada,Beekeepers,v47849,1.1,13102
1993,Canada,Beekeepers,v47849,1.1,12344
1994,Canada,Beekeepers,v47849,1.1,12151
1995,Canada,Beekeepers,v47849,1.1,11174
1996,Canada,Beekeepers,v47849,1.1,11094
1997,Canada,Beekeepers,v47849,1.1,10880
